booking_id,guest_name,email,listing_id,listing_city,checkin_date,checkout_date,nights,price_per_night,total_price,payment_status,review_score,is_cancelled
BKG-008732,  Jermaine Huang  ,thomasadam@yahoo.com,1036,San Fran,2024-03-20,2025-03-03,348,383.63,133503.24,PAID,1.0,False
BKG-007591,amy rios,reginald31@robertson-smith.com,1025,LA,2024-02-29,2025-03-16,381,268.36,102245.16,PENDING,6.0,False
BKG-019275,  James Lester  ,hannah00@yahoo.com,1044,LA,2023-10-20,2023-10-23,3,466.35,1399.0500000000002,PAID,4.0,False
BKG-018753,robert reid,dcastro@hotmail.com,1058,nyc,2023-12-23,2025-02-23,428,268.87,115076.36,PAID,2.0,True
BKG-018250,linda perry,taylorwheeler@yahoo.com,1081,Los Angeles,2023-08-31,2024-01-03,125,67.05,8381.25,PAID,4.0,True
BKG-016414,John Werner DVM,brayjoseph@gmail.com,1040,San Fran,2024-08-07,2025-04-12,248,329.64,81750.72,PAID,6.0,
BKG-011967,  John Torres  ,nmoss@gmail.com,1090,nyc,2024-02-28,2025-05-01,428,480.46,205636.88,PENDING,5.0,True
BKG-012431,  Jennifer Ortiz  ,palmerrebecca@sanford-mckenzie.com,1090,NYC,2024-08-14,2025-04-13,242,149.06,36072.520000000004,PENDING,5.0,False
BKG-016160,MEGAN GRANT,sharon41@yahoo.com,1067,los angeles,2024-04-18,2025-04-27,374,87.84,32852.16,PAID,6.0,True
BKG-000945,william howard,rachel86@brown.org,1081,San Fran,2024-01-10,2024-12-31,356,445.75,158687.0,PENDING,6.0,
BKG-006252,  David Frederick  ,hperry@yahoo.com,1009,nyc,2024-01-12,2025-02-27,412,445.14,183397.68,PENDING,6.0,False
BKG-007772,Stephanie Taylor,huntermichelle@chen-barrett.com,1076,new york,2025-03-10,2025-03-21,11,310.94,3420.34,PENDING,6.0,True
BKG-000423,  Alexa Williams  ,nathandavis@gmail.com,1087,SF,2024-05-14,2024-06-18,35,145.95,5108.25,UNPAID,3.0,False
BKG-017487,bobby potts,stonerichard@sanders.com,1028,los angeles,2023-12-24,2024-01-01,8,395.99,3167.92,PAID,1.0,True
BKG-018830,brandon wood,woodsgeorge@gmail.com,1031,SF,2024-05-29,2024-09-03,97,410.76,39843.72,PENDING,3.0,False
BKG-018651,  Andrew Hendricks  ,qnixon@webb.org,1046,new york,2024-01-11,2024-08-27,229,285.23,65317.670000000006,PAID,6.0,True
BKG-011726,MATTHEW CHEN,robertward@yahoo.com,1016,New York,2023-08-12,2024-04-04,236,454.36,107228.96,UNPAID,3.0,True
BKG-006340,  Mark Jensen  ,patrickosborne@howard.com,1057,SF,2024-01-11,2024-08-10,212,145.22,30786.64,PENDING,2.0,False
BKG-003533,  Becky Ramos  ,qcoleman@williams-ross.info,1006,new york,2024-02-04,2024-11-01,271,460.45,124781.95,PENDING,3.0,True
BKG-015739,ANNA ARMSTRONG,williamrios@watts.info,1003,los angeles,2025-01-26,2025-05-14,108,86.99,9394.92,PENDING,4.0,True
BKG-006234,  Charles Johnson  ,zmorales@hotmail.com,1057,SF,2023-05-30,2024-11-26,546,321.09,175315.13999999998,UNPAID,1.0,True
BKG-007305,  Gary Dillon  ,davidray@yahoo.com,1088,SF,2023-08-02,2023-12-02,122,289.1,35270.200000000004,PENDING,6.0,True
BKG-014511,catherine holmes dds,kristina49@yahoo.com,1064,Los Angeles,2024-06-05,2025-02-25,265,481.44,127581.6,PAID,4.0,
BKG-013769,WENDY MCINTYRE,fulleramanda@hotmail.com,1098,new york,2023-11-26,2024-01-16,51,269.75,13757.25,PENDING,2.0,
BKG-010108,  Stephanie Francis  ,esmith@gmail.com,1012,Los Angeles,2024-04-28,2024-08-15,109,213.95,23320.55,PAID,5.0,True
BKG-004438,Charles Rowe,salazarchristopher@church.com,1053,NYC,2023-10-11,2024-01-22,103,394.64,40647.92,PENDING,6.0,False
BKG-017627,ERIC BENNETT,kimberly14@hotmail.com,1058,San Francisco,2024-06-21,2025-02-23,247,461.7,114039.9,PAID,1.0,True
BKG-002564,  Michael Garcia  ,yrodriguez@gmail.com,1088,los angeles,2025-02-02,2025-04-23,80,437.23,34978.4,PAID,4.0,False
BKG-005532,  Brandi Torres  ,smithashley@stewart.com,1007,New York,2025-01-30,2025-02-09,10,141.62,1416.2,UNPAID,6.0,False
BKG-002884,VERONICA DENNIS,tpeters@ruiz-garrison.com,1041,New York,2023-04-26,2024-04-16,356,308.99,110000.44,PENDING,6.0,False
BKG-016392,  Thomas Parker  ,hunterjaime@kent.com,1052,nyc,2023-07-11,2023-09-15,66,466.96,30819.359999999997,PENDING,6.0,True
BKG-006105,russell miller,wyattkayla@orozco.info,1073,LA,2024-03-12,2024-06-28,108,389.15,42028.2,PAID,5.0,
BKG-003014,PHILLIP MENDOZA,floresphillip@robertson.info,1052,San Francisco,2024-02-06,2024-08-04,180,353.26,63586.799999999996,UNPAID,3.0,False
BKG-008056,julie padilla md,arthur60@gmail.com,1077,LA,2025-02-17,2025-02-22,5,305.25,1526.25,UNPAID,4.0,
BKG-019112,jeffrey hall,greenjohn@williams-martin.com,1063,LA,2024-05-01,2024-11-10,193,462.9,89339.7,PENDING,3.0,True
BKG-016505,  Ashley Becker  ,kelly25@coleman.com,1042,New York,2023-11-16,2024-11-09,359,369.87,132783.33,UNPAID,3.0,False
